-4,214,213,211
-3,214,213,211
-2,189,184,214
-1,189,184,214
0,220,192,240
1,220,192,240
2,198,148,233
3,198,148,233
4,91,172,217
5,91,172,217
6,29,192,233
7,29,192,233
8,29,233,232
9,29,233,232
10,137,255,255
11,137,255,255
12,169,229,208
13,169,229,208
14,99,208,125
15,99,208,125
16,173,255,129
17,173,255,129
18,255,249,135
19,255,249,135
20,255,224,48
21,255,224,48
22,248,193,110
23,248,193,110
24,253,150,83
25,253,150,83
26,254,103,110
27,254,103,110
28,255,150,154
29,255,150,154
30,255,123,181
31,255,123,181
32,252,57,97
33,252,57,97
34,192,0,37
35,192,0,37